Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
2905,3172,745,919,3607,3656,3881,3382,260,922,3280,899,578,3888,260,745,527,3607
2019,2905,1148,3114,1830,858,787,989,792,3435,1278,919,904,912,750,50,1178,3030
858,1198,720,1,3233,50,3338,3607,1097,913,1219,1288,1212,3307,2571,904,750,1304
1198,260,1223,2761,745,3517,2930,3245,247,1252,1214,1066,913,1197,1196,1212,912,1283
260,1204,3429,1023,1148,3435,128,53,1073,1267,1258,914,1252,898,541,2762,1204,1201
1221,1262,3114,1097,3030,1221,1147,2503,2797,1284,1387,945,1284,930,1214,908,1250,1266
2028,3470,3000,1282,3307,1234,3679,2019,2138,2186,3305,2300,903,1172,1240,593,1262,599
2571,1197,1,1028,3022,1260,363,318,2872,1260,1348,1947,3730,899,1253,1252,3134,3365
1197,1196,741,34,1223,910,1189,858,3920,930,2648,2565,950,969,1200,1267,2028,3671
1233,1254,2761,595,3429,296,2859,527,1019,541,1997,3606,3801,1247,1199,2571,1233,3037
